,1.SG,2.SG,1.PL,this1,this2,that1,that2,that3,that4,who?,what?,not,all,many,one,two,big,long,small,woman,man,person,fish,bird,dog,louse,tree,seed,leaf,root,bark,skin,flesh,blood,bone,fat,egg,horn,tail,feather,hair,head,ear,eye,nose,mouth,tooth,tongue,fingernail,foot,knee,hand,belly,neck,breasts,heart,liver,to drink,to eat,to bite,to see,to hear,to know,to sleep,to die,to kill,to swim,to fly,to walk,to come,to lie down,to sit,to stand,to give1,to give2,to say,sun,moon,star,water,rain,stone,sand,soil,cloud,smoke,fire,ash,to burn,path,mountain,red1,red2,blue1,blue2,yellow1,yellow2,white1,white2,black1,black2,night,hot,cold,full,new,good,round,to dry,name
Hirara,baɴ,undʒu,banta,kuri,kunu,uri,unu,hari / kari,kanu,taː,,,,,,,,,,midum,bikidum,,,tujɨ,iɴ,sɨ̥sam,,,,niː,,,sɨsɨ / sɨːsɨ,,,avva,tunaɡa,tsɨnu,dzuː,,karadzu,kanamajɨ,,,,,,sɨda,,paɡɨ,tsɨɡusɨ,tiː,bata,fuɡɨ,,kukuru,,,foːm,,,,,,,,,,,,,,,,,ajɨ,tida,tsɨkɨ / tsɨkɨʃu,pusɨ,midzɨ,ami,isɨ,mːnaɡu,mta,,kivusɨ,umatsɨ,,,mtsɨ,jama,aka,,oː,,kɨːru,,sɨ̥su,,fu̥fu,,jujɨ,,,,,,,,
Ikema,ba / baɴ,vva / undʒu,banti,kui,kunu,ui,unu,kai,kanu,taru,,ɴ,mːna,haːsḁkai,sɨːtsɨ,fu̥taːtsɨ,huikai,naɡakai,imikai,miduɴ,bikiduɴ,sɨ̥tu,zɨzu,tui,iɴ,ssam,ki,tani,haː,niː / sɨ̥sani,kaː,pada / kaː,sɨːsɨ,akatsɨ / tsɨː,huni,avva,tunuka,,dʒuː,kiː / hani,aka,kanamai / kammai / tsɨburu,miɴ,miː,hana,fu̥tsɨ,haː,ʔta,tsɨmi,ssabiːja / ssabiːdza,tsɨɡusɨ,tiː,bata,nudu,tsɨː,tsɨmu,,num,fau,kam,miː,tsɨ̥fu,sɨː,njuː,sɨɴ,kurasɨ / sɨnasɨ,uːdzɨ,tubi,aitsɨ,fuː,njuː,biː,tatsɨ,fiː,fiː,ai,tida,tsɨ̥ttʃu / tsɨ̥tsɨ,hu̥sɨ,midzɨ,ami,isɨ,mnaɡu,nta,m̥mu,kjuːsɨ,umatsɨ,karapai,,ntsɨ,jama,aka,akakai,au,aukai,tsɨːru / tsɨːrui,tsɨːrukai,ssu,ssu̥kai,ffu,ffukai,jui,atsɨ̥kai,ʃʃi̥kai,juːhaːsa,miːkai,dʒaukai / dʒautuː,maːrakai,kaːtsɨ / sari,naː
Irabu,ba / baɴ,vva,banti,kuri / kui,kunu,uri,unu,kari / kai,kanu,taɭ,,ɴ,mːna,ukaːʃḁkaɭ,psɨ̥tiːtsɨ,fu̥taːtsɨ,uku̥kaɭ,naɡakaɭ,imikaɭ,midum,bikidum,psɨ̥tu,zɨzu,tuɭ,iɴ,ssam,kiː,tani,paː,niː / sɨ̥sani / nibaɭ,kaː,pada / duː,sɨːsɨ / mzɨː / niku,akḁtsɨ / tsɨː,puni,avva,tunuka,,dzuː,pani,karadzɨ,kanamaɭ / kam / tsɨdzɨ,mim,miː,pana,fu̥tsɨ,paː,sɨ̥ta,tsɨmi,paɡzɨ / padzɨ,tsɨɡusɨ,tiː,bata,nubui,tsɨː,tsɨmu,,num,fau,kam,miːɭ,tsɨ̥tsɨ,sɨː,nivː,sɨɴ,kurusɨ / battsaiː,uːdzɨ,tubzɨ,aɭfu,fuː,nivː,bzɨː,tḁfu,fiːɭ,fiːɭ,azɨ,tida,tsɨttʃu / tsɨ̥tsɨ,pu̥sɨ,midzɨ,ami,isɨ,mnaɡu,mta,fumu,kivsɨ,umatsɨ,karapazɨ,,mtsɨ,jama,aka,akḁkam,au,aukaɭ,,kiːrukam,ssu,ssu̥kam,ffu,ffu̥kam,junai,atsɨ̥kam,psɨ̥ʃikam,ukaːʃa,mɨːkaɭ,dʒautuː,maːkukaɭ,kaːtsɨ / kaːratsɨ,naː
Tarama,aɴ / ba / baɴ,undʒu / vva,anta,kuɭ,kunu,uɭ,unu,kaɭ,kanu,taː,,ɴ,mːna,ɡaːffiːʃaːɭ,psɨ̥tiːtsɨ,fu̥taːtsɨ,upu̥ʃaːɭ,naɡaʃaːɭ,imiʃaːɭ,midum,bikidum,psɨ̥tu,zɨzu,tuɭ,ina,ssam,kiː,tani,paː,nivvuɭ / niː / nivvaɭ,kaː,pada,sɨːsɨ / niku / mɨː,akḁtsɨ,puni,avva,kuɡa,,dʒuː,pani,aka,kanamaɭ / tsɨbuɭ,mim,miː,pana,fu̥tsɨ,paː,sɨ̥ta,tʃimi,psɨsa,tsɨbusɨ,tiː,bata,fudzɨbuni / fuɡzɨbuni,tsɨː,ksɨmu,,num,fuː,kam,miːɭ,ksɨ̥ksɨ,sɨː,niniɭ,sɨɴ,kurusɨ,uiɡɨ,tubzɨ,aɭksɨ,ksɨː,niniɭ,bzɨːɭ,tḁtsɨ,turasɨ / jarasɨ / weːʃiɭ / uʃaɡiɭ,ffiɭ,zɨː,tida,tsɨ̥ksɨ,pu̥sɨ,midzɨ,ami,iʃi / iʃiɡuː,mnaɡu,mta,fumu,kifu̥sɨ,umutsɨ,karapazɨ,,mitsɨ,jama,aka,akḁʃaːɭ,oː,oːʃaːɭ,kiːru,ksɨːruʃaːɭ,ssu,ssu̥ʃaːɭ,ffu,ffu̥ʃaːɭ,junaɡatu / juneːɴ,attʃaːɭ,piːʃaːɭ,ɡaːffiː / tʃupaːra,mɨːʃaːɭ,dʒauʃaːɭ / dʒaudzɨ / dʒautuː,maːkuʃaːɭ,kaːraksɨ,naː
Ishigaki,banu,wanu,baɡadaː / bandaː,kuri,kunu,uri,unu,kari,kanu,taː / taru,,,ɡasɨte / ɡusɨte / keːra / muːru,fuːsaːɴ,pitiːdzɨ,futaːdzɨ / fu̥taːdzɨ,,naːsaːɴ,ɡumasaːɴ / kuːsaːɴ,miːduɴ,biɡiduɴ,pɨtu,idzu,turɨ,iɴ,sɨ̥saɴ / ssaɴ,kiː,,paː,niː,kaː,pada,sɨsɨ / sɨ̥sɨ / sɨːsɨ / mɨː,tsɨː,puni,aba,tunaɡa,tsɨnu,dzuː,pani,akamadzɨ,tsɨburɨ,miɴ,miː,pana,fu̥tsɨ / futsɨ̥,paː,sɨtaː / sɨ̥taː,tsɨmi,paɴ,tsɨbusɨ,tiː,bada,fubɨ / nubi,tsɨː,kɨmu / kukuru,kɨmu,numuɴ,foːɴ,,miːɴ / miːruɴ,sɨkuɴ,sɨ̥suɴ / ssuɴ,nibuɴ,sɨnuɴ,,,tubuɴ / tubeːruɴ,araɡuɴ,kɨɴ,,bɨruɴ,tatsuɴ,,,aŋkuɴ / izuɴ / idzuɴ / ssariɴ,tida,tsɨkɨ / tsɨ̥kɨ,pusɨ / pu̥sɨ,midzɨ,aːmi,iʃi / iʃi̥,inoː,nta / duru / tsɨtsɨ / tsɨ̥tsɨ,fumu,kjuː,pɨː,pai,,mitsɨ,jama,aka,,au,,kɨŋiru / kɨːru,,sɨ̥su / ssoːsu / ssu,,fu̥fu / ffu / fufoːfu,,juːrɨ,attsaːɴ,piːʃaːɴ,,mɨːsaːɴ,miʃaːɴ,,,
Taketomi,banu,waː,banaː,kuri,kunu,uri,unu,kari,kanu,taː / taru,,,,hoːrasaɴ / jamasaɴ,dittsi,daːtsi,fuːʃaɴ,naːsaɴ,ɡumaʃaɴ,midõː,bidõː,pitu,iʒu,tui,iɴ,ʃi̥ʃaɴ,kiː,,paː,niː,kaː,hada,ʃiʃi,ʃiː,funi,aba,kuŋɡa,sunu,busa,pani,hamazɨ,suburu,miɴ,miː,hana,futʃi,paː,ʃida,sumi,paɴ,subuʃi,tiː,bata,,ʃiː,,ʃumu,numuɴ,hoːɴ,,miruɴ,ʃikuɴ,ʃi̥ʃiɴ,nimbuɴ,ʃinuɴ,,,tubuɴ,aroːɴ,kuɴ,,biːruɴ,tatsuɴ,,,anʒuɴ / iʒuɴ,tida,ʃikki,fuʃi,mizɨ,ami,isi,inno,duru / tʃitʃi,fumo,kjuːʃi,piː,pai,,mitʃi,jama,aka,,oː,,kɨŋiru / ʃiːru,,ʃi̥ʃu,,fu̥fu,,juru,attsaɴ,piːsaɴ,,,,,,
Kohama,banu,uwa,bannuː,ku̥ri,ku̥nu,uri,unu,kḁri,kḁnu,taː / taru,,,ɡaːʃi̥ti / keːra / muːru,uohaːɴ,pitiːtsɨ,futaːtsɨ,maihaːɴ,naːhaːɴ,ɡumahaːɴ,minduɴ,bikinduɴ,,idzu,,,sɨsaɴ / sɨ̥saɴ,kiː,,,,,,ʃiʃi,,,aba,koːma,,buː,,akamantsɨ,tsupuru,miɴ,miː,pḁna,fu̥tsɨ / futsɨ,paː,sɨta,tsɨ̥mi,pai,tsɨpusɨ,tiː,bada,fupi / nubui,,,,,foːɴ,,,sukuɴ,sɨ̥suɴ,nufutohoːɴ,sɨnuɴ / sɨ̥nuɴ,,,,,kuɴ,,,,,,,tʃinda,tsɨkɨ,,,,iʃi,inoː / inõː / iʃi̥noː,mita / tsɨ̥tsɨ̥,,kibusɨ,pɨ̥ː,,,mitsɨ,jama,aka,,au,,kɨŋiru,,sɨ̥su,,fu̥fu,,juːru,,piŋɡurahaːɴ / piʃahaːɴ,,,miʃaːɴ,,,
Kuroshima,baɴ,uva,bantaː / beːhaː,kuri,kunu,uri,unu,hari,hanu,taː / taru / taru̥,,,keːra / murutti,urahaɴ,,,ubuhaɴ,naːhaɴ,ɡumahaɴ / ibehaɴ,midumu,bikidumu,,,,,midʒiraɴ / sɨ̥dzaɴ,kiː,,,,haː,pada,ʃiːʃi,,,ava,kuːwaː,ʃinu,dzuː,,amadʒi,suburu,miɴ,miː,pana,futʃi,paː,ʃiba / zza,,paɴ,subuʃi,tiː,bata,fubi / nubi,,,,,woːɴ,,,sukuɴ,,niwuɴ,ʃinuɴ,,,,,fuɴ,,,,,,,tida,sɨkɨ,puʃi,,ami,iʃi,inoː,,,kibuʃi,piː,,,,,aː,,au,,kiːru,,zzu,,buː,,juːrɨ,,piːjaɴ,,,misaɴ,,,
Aragusuku,banu,nda / uva / uwa,baʃiteː / pjaː,uri,unu,uri,unu,kḁri,kḁnu,taː / taru,,,ɡaʃiti / muru,ubusaːɴ,pitiːtsɨ,futaːtsɨ,maiʃaːɴ,naːsaːɴ,ɡumeːsaːɴ,miːduɴ,biçiduɴ,,,,,sɨ̥saɴ,kiː,,,,,,sɨsɨ,tsɨː,,aba,kajɨ,,dzubuni,,kḁmadzɨ,tsupuru,,miː,pḁna,futsɨ,paː,sɨta,tsɨ̥mi,paɴ,tsɨpusɨ,tiː,bata,nubɨ / fuːkadzɨ,tsɨ / tsɨː,,,numuɴ,fauɴ,,nduɴ,sukuɴ,,nuwuɴ,sɨnuɴ / sɨ̥nuɴ,,,tubuɴ,,kuɴ,,,,,,,tida,tsɨkɨ / tsɨ̥kɨ,pusɨ̥ / pu̥sɨ̥,,ami,iʃi,inau,nta,fumu / fu̥mu,kifu,pɨː,,,,,haː / kaː,,au,,kɨŋiru / kɨːru,,sɨ̥su / sɨ̥soːsu,,fu̥foːfo,,juːru,,piːʃaːɴ,,,miʃaːɴ,,,
Hateruma,banu,daː / naː,banuma,kuri,kunu,uri,unu,kḁri,kanu / kḁnu,taː,,,keːre / muːru,bosaːɴ,,,busahaɴ,nahaɴ,beːbiʃaːɴ,midumu / midunu,bidumu / bidunu,pɨtu,,,,saɴ,kiː,,,,,,sɨsɨ,,,aba,kɛː,sɨ̥nu,busɨpu,pḁni,amadzɨ,amasɨkuru / amosɨkurɨ,misɨkurumiː / miɨkurumiɴ,mi / miː / miɴ,pḁna,fu̥tsɨ / futsɨ,paɴ,sɨtaː,ʃimi,paɴ,sɨpusɨɴ,ʃiː,bata,nubi / manuɨsɴ,tsɨː,,kɨmu / sɨmu,,foɴ,,,sɨkuɴ,,nuffuɴ,sɨnuɴ,,,,arakuɴ,kuɴ,,,,,,,sɨ̥na,sɨ̥kɨɴ,pu̥sɨ,,ami,iʃi,isoːɴ,,,kibusɨ,pɨː,peː,,,,aka,,oː,,kiːru,,sɨ̥su,,fu̥fu / fufu,,juru / juːru,,,,,,,,
Hatoma,baɴ,waː,bantaː,kuri,kunu,uri,unu,kari,kanu,taː,,,,ɡoːraru,piːtʃi,futaːtʃi,,naːru,ɡumaːɴ,miːdumu,bikidumu,pusu,izu,turu,iɴ,su̥saɴ,kiː,,paː,niː,kaː,pada,,ʃiː,puni,aba,koːma,ʃinu,zuː,pani,ɡamaʒinukiː,ɡamaʒi,miɴ,miː,pana,futʃi,paː,ʃida,ʃimi,paɴ,subuʃi,,bata,,ʃiː,,kimu,numuɴ,fu̥foːɴ,,miːruɴ,ʃikuɴ,ʃi̥ʃeːɴ,nibuɴ,ʃinuɴ,,,tubuɴ,,kuːɴ,,biruɴ,tatsuɴ,,,azuɴ / izuɴ,tida,ʃi̥ki,puʃi,miʒi,ami,iʃi,inoːɴ,ʃi̥tʃi,fumu,kiboːʃi,piː,pai,,mitʃi,jama,aɡa,,au,,kiŋkinnuiru,,ssu,,ffu,,juːru,attsaru,piːjaru,,,misaɴ,,,
Iriomote,,,,,,,,,,,,,,,,,,,,miːduɴ,biːduɴ,,,,,sɨ̥saɴ,,,,,,,,,,,tu̥noː,,buː,,amatʃi,dzabura,miɴ,mintʃi,pḁna,fu̥tʃi̥,paː,ʃita / ʃida,tʃi̥mi,pai,tʃipuʃi,tiː,bada,fubi / nubi,tʃãː,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yonaguni,anuː,nːdaː / uja,bantaː / baŋaː,kuː,kunu,uː,unu,ari / kari,anu / kanu,taː,,,buːru / ɡatʃitte / ɡusuju,ubusaːɴ,,,maisaɴ,naːɴ,ɡumaɴ,minuŋa,biŋɡa,ttu / ttuː,,,,ʔtsaːɴ / ndaɴ,,,,,,,miː / tsittsiː,,,anda,kaiŋuː,,duː,,karaɴ,mimburu,miɴ,miː,hana / hanaburu,ʔtiː / ttiː,haː,ʔtaː / ttaː,mːmi,haɴ,mbuttsi,,battaː,kubi / nubi,tʃiː,,,,fuɴ,,,ditaɴ / ʔɡuɴ,tsuɴ,ninduɴ,nniruɴ / nnuɴ,,,tsufuɴ,,kuɴ,,,,,,nduɴ,tidaɴ,ʔtiː / tti,,miɴ,,itʃi / ittsi / itsibuɡu,tʃinaɴ,nta / duru,,kibuntsi,tsiː / tʃiː,,,,,aɡa,,au,,kindaniru,,tsu,,furu,,duru,,fisaɴ,,,nsaːɴ,,,
